timestamp,traffic_type,type,direction,harq,prbs,tb_len,mod,rv_idx,cr,retx,crc_ok,snr,mcs,format,total_len
2025-08-29 13:37:54.261,URLLC,PDSCH,DL,12.0,-95.0,4992.0,8.0,0.0,0.78,0.0,1.0,33.6,,,
2025-08-29 13:37:54.261,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:54.262,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.262,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.265,URLLC,MAC,UL,,,,,,,,,,,,145.0
2025-08-29 13:37:54.265,URLLC,PDCCH,DL,,,,,,,,,,16.0,,
2025-08-29 13:37:54.267,URLLC,PUSCH,UL,12.0,1.0,153.0,6.0,0.0,0.7,0.0,1.0,,,,
2025-08-29 13:37:54.352,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.356,URLLC,PDCCH,DL,,,,,,,,,,16.0,,
2025-08-29 13:37:54.356,URLLC,MAC,UL,,,,,,,,,,,,148.0
2025-08-29 13:37:54.357,URLLC,PUSCH,UL,13.0,-3.0,153.0,6.0,0.0,0.7,0.0,1.0,,,,
2025-08-29 13:37:54.360,URLLC,PDCCH,DL,,,,,,,,,,17.0,,
2025-08-29 13:37:54.361,URLLC,PDSCH,DL,13.0,-207.0,4737.0,6.0,0.0,0.75,0.0,1.0,32.3,,,
2025-08-29 13:37:54.361,URLLC,MAC,DL,,,,,,,,,,,,4732.0
2025-08-29 13:37:54.362,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.362,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.365,URLLC,PDCCH,DL,,,,,,,,,,15.0,,
2025-08-29 13:37:54.365,URLLC,MAC,UL,,,,,,,,,,,,136.0
2025-08-29 13:37:54.367,URLLC,PUSCH,UL,14.0,-1.0,141.0,6.0,0.0,0.65,0.0,1.0,,,,
2025-08-29 13:37:54.452,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.456,URLLC,PDCCH,DL,,,,,,,,,,16.0,,
2025-08-29 13:37:54.456,URLLC,MAC,UL,,,,,,,,,,,,145.0
2025-08-29 13:37:54.457,URLLC,PUSCH,UL,15.0,-201.0,153.0,6.0,0.0,0.7,0.0,1.0,,,,
2025-08-29 13:37:54.460,URLLC,PDCCH,DL,,,,,,,,,,17.0,,
2025-08-29 13:37:54.461,URLLC,PDSCH,DL,14.0,-239.0,4737.0,6.0,0.0,0.75,0.0,1.0,31.9,,,
2025-08-29 13:37:54.461,URLLC,MAC,DL,,,,,,,,,,,,4732.0
2025-08-29 13:37:54.462,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.462,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.465,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
2025-08-29 13:37:54.465,URLLC,MAC,UL,,,,,,,,,,,,124.0
2025-08-29 13:37:54.467,URLLC,PUSCH,UL,0.0,-266.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:37:54.552,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.556,URLLC,MAC,UL,,,,,,,,,,,,124.0
2025-08-29 13:37:54.556,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
